address_1,address_2,city,state,postal_code,phone_number,restaurant_open_date,facility_type,permitid,x,y,geocode_status,geo_shape,geo_point_2d,BIZ_ID,biz_name,NAME_SENTIMENT,HEALTH_SCORE,NAME_SENTIMENT_CONFIDENCE
309 N DAWSON ST,NA,RALEIGH,NC,27603,(919) 838-8595,2011-06-17,Restaurant,12250,-78.64347238,35.78455109,M,"{""coordinates"": [-78.64347499431204, 35.784558167480895], ""type"": ""Point""}","35.784558167480895, -78.64347499431204",04092015754,MULINO,positive,91.5,0.259381
1051 DURHAM  RD,NA,WAKE FOREST,NC,27587,(919) 554-2501,2011-07-07,Restaurant,12268,-78.55120124,35.97391996,M,"{""coordinates"": [-78.55120383482662, 35.97392708382003], ""type"": ""Point""}","35.97392708382003, -78.55120383482662",04092015765,WAFFLE HOUSE #1901,positive,96,0.27890596
8470 HONEYCUTT RD,STE 110,RALEIGH,NC,27615,(919) 322-2327,2011-07-14,Restaurant,12276,-78.62166264,35.89510631,M,"{""coordinates"": [-78.62166525412478, 35.895113413624664], ""type"": ""Point""}","35.895113413624664, -78.62166525412478",04092015775,SIMPLY CREPES CAFE & CATERING,very negative,95.5,0.5079778
2316 HILLSBOROUGH ST,NA,RALEIGH,NC,27607,(919) 576-1894,2011-09-16,Restaurant,12412,-78.66664947,35.78770917,M,"{""coordinates"": [-78.66665208900575, 35.78771624534811], ""type"": ""Point""}","35.78771624534811, -78.66665208900575",04092016002,CHIPOTLE #1659,positive,97.5,0.24103187
708  N JUDD PKY,NA,FUQUAY-VARINA,NC,27526,(919) 552-8899,2011-09-20,Restaurant,12415,-78.77866077,35.59344505,M,"{""coordinates"": [-78.77866340716955, 35.593452083496715], ""type"": ""Point""}","35.593452083496715, -78.77866340716955",04092016005,HIBACHI & CO,very positive,90,0.31409898
3707 MARSH CREEK RD,NA,RALEIGH,NC,27604,(919) 850-8738 ext. 26370,2011-10-18,Public School Lunchrooms,12443,-78.57496049,35.82146866,M,"{""coordinates"": [-78.57496308018193, 35.82147574874327], ""type"": ""Point""}","35.82147574874327, -78.57496308018193",04092110495,WILBURN ELEMENTARY CAFETERIA,positive,97,0.36155507
1411 E WILLIAMS ST,NA,APEX,NC,27539,(919) 387-4600,2011-10-20,Restaurant,12460,-78.83826509,35.71228894,M,"{""coordinates"": [-78.83826775111328, 35.712295994531], ""type"": ""Point""}","35.712295994531, -78.83826775111328",04092016025,COMFORT INN BREAKFAST,positive,98,0.36415547
13200 NEW FALLS OF NEUSE RD,STE 117-119,RALEIGH,NC,27614-8239,(919) 556-2146,2011-10-11,Restaurant,12484,-78.55982173,35.94075522,M,"{""coordinates"": [-78.559824326818, 35.940762335092955], ""type"": ""Point""}","35.940762335092955, -78.559824326818",04092016030,DANTE'S ITALIANO,very positive,97.5,0.3379759
2010 KILDAIRE FARM RD,NA,CARY,NC,27518,(919) 852-6651,2011-11-08,Food Stand,12499,-78.78211243,35.73717418,M,"{""coordinates"": [-78.78211507525596, 35.737181245783646], ""type"": ""Point""}","35.737181245783646, -78.78211507525596",04092021693,WALMART DELI #2247,very positive,97,0.3265252
7141 KNIGHTDALE  BLVD,NA,KNIGHTDALE,NC,27545,(919) 266-6700,2011-12-09,Restaurant,12553,-78.48855644,35.79878016,M,"{""coordinates"": [-78.48855899973877, 35.79878725091158], ""type"": ""Point""}","35.79878725091158, -78.48855899973877",04092016062,MCDONALD'S #11646,very positive,96.5,0.32065362
5412 APEX PEAKWAY,NA,APEX,NC,27502,(919) 362-7976,2011-12-15,Restaurant,12560,-78.86537408,35.73684286,M,"{""coordinates"": [-78.86537675720751, 35.73684992232912], ""type"": ""Point""}","35.73684992232912, -78.86537675720751",04092016069,SUBWAY #29952,very positive,95,0.2813203
2009 VILLAGE PARK DR,NA,KNIGHTDALE,NC,27545,(919) 369-7788,2011-12-20,Mobile Food Units,12575,-78.49335819,35.79721391,M,"{""coordinates"": [-78.49336075194478, 35.797221000267555], ""type"": ""Point""}","35.797221000267555, -78.49336075194478",04092030234,CHICK-N-QUE II (WCID #425),positive,100,0.278304
2972 KILDAIRE FARM RD,NA,CARY,NC,27511,(919) 363-5688,2012-01-04,Restaurant,12598,-78.78870059,35.71809477,M,"{""coordinates"": [-78.78870324233264, 35.71810183254424], ""type"": ""Point""}","35.71810183254424, -78.78870324233264",04092016077,CHINA CARY,neutral,97,0.24741086
700 E WILLIAMS ST,NA,APEX,NC,27502,(919) 303-8088,2012-01-17,Restaurant,12692,-78.84651358,35.72361102,M,"{""coordinates"": [-78.84651625172965, 35.7236180779261], ""type"": ""Point""}","35.7236180779261, -78.84651625172965",04092016087,YAMATO,very positive,93.5,0.33667323
2400 E MILLBROOK RD,NA,RALEIGH,NC,27604-2806,(919) 790-8900,2012-02-15,Restaurant,12719,-78.59604248,35.84755141,M,"{""coordinates"": [-78.59604507815286, 35.847558502791536], ""type"": ""Point""}","35.847558502791536, -78.59604507815286",04092016105,THE GARDEN ON MILLBROOK,positive,97,0.38304877
3735 DAVIS DR,STE 101,MORRISVILLE,NC,27560,(919) 650-1646,2012-03-20,Food Stand,12827,-78.85587824,35.83375442,M,"{""coordinates"": [-78.85588091864963, 35.83376150289085], ""type"": ""Point""}","35.83376150289085, -78.85588091864963",04092021703,S & S HALAL MEAT,very positive,99,0.24343409
1300 VILLAGE MARKET PL,NA,MORRISVILLE,NC,27560,(919) 469-7872,2012-03-28,Restaurant,12839,-78.81477626,35.80605318,M,"{""coordinates"": [-78.81477892463208, 35.80606025742147], ""type"": ""Point""}","35.80606025742147, -78.81477892463208",04092016145,BUFFALO WILD WINGS #357,very positive,91.5,0.34139246
7301 KIT CREEK RD,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012-04-20,Restaurant,12863,-78.88578599,35.85727866,M,"{""coordinates"": [-78.88578867339139, 35.857285743238236], ""type"": ""Point""}","35.857285743238236, -78.88578867339139",04092016169,NET APP CAFE BLDG3,positive,99.5,0.37042654
415 ROYAL ST,NA,RALEIGH,NC,27607,(919) 600-3688,2012-05-10,Food Stand,12906,-78.68760395,35.79365959,M,"{""coordinates"": [-78.68760657834939, 35.793666670969415], ""type"": ""Point""}","35.793666670969415, -78.68760657834939",04092021705,EMPIRE EATS CATERING KITCHEN,positive,96.5,0.38064024
5804  POOR BOY FARM RD,NA,KNIGHTDALE,NC,27545,(919) 217-2500,2012-05-04,Restaurant,12922,-78.44826736,35.75699359,M,"{""coordinates"": [-78.44826991317103, 35.75700067095613], ""type"": ""Point""}","35.75700067095613, -78.44826991317103",04092016180,POOR BOY GENERAL STORE AND GRILL,very negative,97.5,0.52178276
1411 AVERSBORO RD,STE 105,GARNER,NC,27529,(919) 779-6661,2012-06-08,Restaurant,12956,-78.61624516,35.69375078,M,"{""coordinates"": [-78.6162477569756, 35.6937578378984], ""type"": ""Point""}","35.6937578378984, -78.6162477569756",04092016202,AVERSBORO RESTAURANT AND SPORTS BAR,positive,94,0.3972791
442 FAYETTEVILLE ST,NA,RALEIGH,NC,27601,(919) 821-8089,2012-06-08,Food Stand,12966,-78.63936489,35.77440851,M,"{""coordinates"": [-78.63936750018618, 35.77441558688331], ""type"": ""Point""}","35.77441558688331, -78.63936750018618",04092021710,FIRE WOK,very negative,97,0.47374675
4025 LAKE BOONE TRL,#107,RALEIGH,NC,27607,(919) 322-4928,2012-10-16,Restaurant,13226,-78.6970997,35.81457601,M,"{""coordinates"": [-78.69710233209544, 35.81458308972372], ""type"": ""Point""}","35.81458308972372, -78.69710233209544",04092016279,GUASACA AREPA & SALSA GRILL,very positive,97.5,0.3362941
3027 CAPITAL  BLVD,STE 101,RALEIGH,NC,27604,(919) 790-6688,2012-11-02,Restaurant,13279,-78.59154908,35.82214441,M,"{""coordinates"": [-78.59155167353691, 35.822151503173714], ""type"": ""Point""}","35.822151503173714, -78.59155167353691",04092016299,AGGIE'S GRILL STATION,positive,96.5,0.34136972
2810 HILLSBOROUGH ST,NA,RALEIGH,NC,27607,(919) 832-6522,2012-11-01,Restaurant,13270,-78.67444996,35.78960042,M,"{""coordinates"": [-78.67445257532397, 35.78960750279422], ""type"": ""Point""}","35.78960750279422, -78.67445257532397",04092016286,CHECKERS PIZZA,very positive,95.5,0.3285995
4111 NEW BERN AVE,NA,RALEIGH,NC,27610-1372,(919) 250-7876,2013-01-25,Food Stand,13386,-78.56526425,35.80114582,M,"{""coordinates"": [-78.56526683849255, 35.801152909929485], ""type"": ""Point""}","35.801152909929485, -78.56526683849255",04092021731,CARLIE C'S SEAFOOD,positive,98,0.28419235
4111 NEW BERN AVE,NA,RALEIGH,NC,27610-1372,(919) 250-7876,2013-01-25,Food Stand,13388,-78.56526425,35.80114582,M,"{""coordinates"": [-78.56526683849255, 35.801152909929485], ""type"": ""Point""}","35.801152909929485, -78.56526683849255",04092021733,CARLIE C'S PRODUCE,very positive,96,0.41676834
1885 LAKE PINE DR,NA,CARY,NC,27511,(919) 650-1270,2013-01-25,Restaurant,13422,-78.81900333,35.7452121,M,"{""coordinates"": [-78.8190059912053, 35.745219167338156], ""type"": ""Point""}","35.745219167338156, -78.8190059912053",04092016356,BREWSTER'S PUB,very positive,97,0.30257764
100 GRAND HILL  PL,NA,HOLLY SPRINGS,NC,27540,(919) 557-2686,2013-01-24,Food Stand,13427,-78.85156116,35.66046795,M,"{""coordinates"": [-78.85156382634257, 35.66047500027474], ""type"": ""Point""}","35.66047500027474, -78.85156382634257",04092021734,TARGET CAFE,very positive,96.5,0.32827348
201 SOCCER PARK DR,NA,CARY,NC,27512,(919) 452-8931,2013-02-01,Food Stand,13434,-78.7543031,35.78579334,M,"{""coordinates"": [-78.75430574611234, 35.78580041861132], ""type"": ""Point""}","35.78580041861132, -78.75430574611234",04092021735,THE CENTERLINE CAFE,very positive,100,0.33894312
4208 SIX FORKS  RD,STE 100,RALEIGH,NC,27609,(919) 784-0400,2013-04-05,Restaurant,13535,-78.63994698,35.83691241,M,"{""coordinates"": [-78.6399495930888, 35.83691949751752], ""type"": ""Point""}","35.83691949751752, -78.6399495930888",04092016405,THE COWFISH,positive,98,0.29557383
14 W MARTIN ST,NA,RALEIGH,NC,27601,(919) 833-6886,2013-04-22,Restaurant,13567,-78.63980298,35.77713417,M,"{""coordinates"": [-78.63980559202744, 35.77714124591951], ""type"": ""Point""}","35.77714124591951, -78.63980559202744",04092016414,GARLAND,very positive,99,0.41974142
7301 SIX FORKS  RD,NA,RALEIGH,NC,27615,(919) 846-9903,2012-11-16,Restaurant,13626,-78.64640137,35.87989564,M,"{""coordinates"": [-78.64640399119283, 35.87990274291739], ""type"": ""Point""}","35.87990274291739, -78.64640399119283",04092016289,MCDONALDS #32822,very positive,97.5,0.29077944
18 E MARTIN ST,NA,RALEIGH,NC,27601,(919) 239-4010,2012-05-15,Restaurant,12928,-78.63846095,35.7768407,M,"{""coordinates"": [-78.63846356312521, 35.776847776367745], ""type"": ""Point""}","35.776847776367745, -78.63846356312521",04092016191,ORO RESTAURANT & LOUNGE,very positive,96.5,0.547023
13200 STRICKLAND  RD,SUITE 110,RALEIGH,NC,27613-7538,(919) 866-1700,2013-07-01,Restaurant,13657,-78.72593594,35.90878681,M,"{""coordinates"": [-78.72593858375608, 35.90879391586435], ""type"": ""Point""}","35.90879391586435, -78.72593858375608",04092016458,CRAZY FIRE MONGOLIAN GRILL,very positive,95.5,0.3706718
1099 E YOUNG ST,NA,ROLESVILLE,NC,27571,(919) 554-6303 ext. 20395,2013-06-14,Public School Lunchrooms,13660,-78.44139787,35.90590689,M,"{""coordinates"": [-78.44140042475738, 35.905914000180125], ""type"": ""Point""}","35.905914000180125, -78.44140042475738",04092110498,ROLESVILLE HIGH SCHOOL CAFETERIA,positive,100,0.3726917
3200 VILLAGE MARKET PL,NA,MORRISVILLE,NC,27560,(919) 653-0111,2013-07-26,Restaurant,13677,-78.81918416,35.80768075,M,"{""coordinates"": [-78.81918682999896, 35.80768783215696], ""type"": ""Point""}","35.80768783215696, -78.81918682999896",04092016468,FIREBIRDS,very positive,92,0.3155654
500 FAYETTEVILLE ST,NA,RALEIGH,NC,27601,(919) 833-1120,2013-08-16,Restaurant,13686,-78.63997331,35.773597,M,"{""coordinates"": [-78.6399759217539, 35.77360407831895], ""type"": ""Point""}","35.77360407831895, -78.6399759217539",04092016473,STARBUCKS #75937,very positive,96.5,0.27625594
973 N HARRISON AVE,NA,CARY,NC,27513,(919) 337-9780,2013-07-12,Food Stand,13699,-78.78451819,35.80143568,M,"{""coordinates"": [-78.7845208415064, 35.80144275476601], ""type"": ""Point""}","35.80144275476601, -78.7845208415064",04092021749,WALMART NEIGHBORHOOD MARKET #2414,very positive,98.5,0.3576319
4212 WAKE FOREST RD,NA,RALEIGH,NC,27609,(919) 862-1996,2013-08-30,Restaurant,13816,-78.61155582,35.83876666,M,"{""coordinates"": [-78.61155842189254, 35.83877374866843], ""type"": ""Point""}","35.83877374866843, -78.61155842189254",04092016501,MCDONALD'S #35756,very positive,94,0.3108941
1108 MORRISVILLE CARPENTER RD,NA,MORRISVILLE,NC,27560,(919) 377-0226,2013-09-17,Restaurant,13825,-78.84967358,35.82080217,M,"{""coordinates"": [-78.8496762580044, 35.820809245473505], ""type"": ""Point""}","35.820809245473505, -78.8496762580044",04092016509,TACO BELL #29283,very positive,97.5,0.27498677
100 E DAVIE ST,(1ST FLOOR),RALEIGH,NC,27601,(919) 754-3767,2013-10-01,Food Stand,13854,-78.63762465,35.77518083,M,"{""coordinates"": [-78.63762725754566, 35.775187910082536], ""type"": ""Point""}","35.775187910082536, -78.63762725754566",04092021757,THE HAT RACK CATERING KITCHEN (1ST FLOOR),positive,98,0.35234106
2900 WAKEFIELD PINES DR,NA,RALEIGH,NC,27614,(919) 556-8677,2013-10-03,Restaurant,13851,-78.5596234,35.94210405,M,"{""coordinates"": [-78.5596259912835, 35.942111161752656], ""type"": ""Point""}","35.942111161752656, -78.5596259912835",04092016517,MCDONALD'S #25393,very positive,98,0.3130121
2610 CATES AVE,NA,RALEIGH,NC,27695,(919) 513-1602,2013-10-10,Food Stand,13882,-78.67872347,35.78447993,M,"{""coordinates"": [-78.67872609246402, 35.78448700606069], ""type"": ""Point""}","35.78448700606069, -78.67872609246402",04092021761,PAVILLION TALLEY STUDENT UNION,positive,98,0.33392513
17001 SEARSTONE DR,NA,CARY,NC,27513,(919) 234-0400,2013-11-01,Restaurant,13924,-78.84474841,35.78853893,M,"{""coordinates"": [-78.8447510779452, 35.78854600594238], ""type"": ""Point""}","35.78854600594238, -78.8447510779452",04092016544,WINSTON CLUBHOUSE,very positive,95.5,0.34422672
