Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Corey Seager,13624,1994-04-27,409,0.39399999999999996,232.0,0.358,541.0,0.335,115.0,0.348,613.0,0.375,687.0,0.365
Aaron Judge,15640,1992-04-26,633,0.373,114.0,0.336,447.0,0.381,498.0,0.392,678.0,0.42200000000000004,95.0,0.263
Trea Turner,16252,1993-06-30,646,0.375,259.0,0.39399999999999996,569.0,0.353,740.0,0.344,447.0,0.33799999999999997,324.0,0.37
Bryan Reynolds,19326,1995-01-27,646,0.39,208.0,0.275,546.0,0.377,,,,,,
Ketel Marte,13613,1993-10-12,374,0.377,195.0,0.32299999999999995,628.0,0.389,580.0,0.332,255.0,0.345,466.0,0.287
Darin Ruf,9929,1986-07-28,312,0.385,100.0,0.37,,,,,,,89.0,0.23600000000000002
John Hicks,12547,1989-08-31,31,0.258,,,333.0,0.24,312.0,0.312,190.0,0.326,2.0,0.5
Tyler O'Neill,15711,1995-06-22,537,0.35200000000000004,157.0,0.261,151.0,0.311,142.0,0.303,,,,
C.J. Cron,12546,1990-01-05,547,0.375,52.0,0.34600000000000003,499.0,0.311,560.0,0.32299999999999995,373.0,0.305,445.0,0.325
Kyle Tucker,18345,1997-01-17,567,0.359,228.0,0.325,72.0,0.319,72.0,0.23600000000000002,,,,
George Springer,12856,1989-09-19,342,0.35200000000000004,222.0,0.359,556.0,0.38299999999999995,620.0,0.34600000000000003,629.0,0.36700000000000005,744.0,0.359
Austin Riley,18360,1997-04-02,662,0.36700000000000005,206.0,0.301,297.0,0.27899999999999997,,,,,,
Freddie Freeman,5361,1989-09-12,695,0.39299999999999996,262.0,0.462,692.0,0.389,707.0,0.38799999999999996,514.0,0.40299999999999997,693.0,0.4
Buster Posey,9166,1987-03-27,454,0.39,,,445.0,0.32,448.0,0.359,568.0,0.4,614.0,0.36200000000000004
Max Muncy,13301,1990-08-25,592,0.368,248.0,0.331,589.0,0.374,481.0,0.391,,,133.0,0.308
Matt Olson,14344,1994-03-29,673,0.371,245.0,0.31,547.0,0.35100000000000003,660.0,0.335,216.0,0.35200000000000004,28.0,0.321
Brandon Crawford,5343,1987-01-21,549,0.373,193.0,0.326,560.0,0.304,594.0,0.325,570.0,0.305,623.0,0.342
Greg Allen,16623,1993-03-15,48,0.41700000000000004,32.0,0.281,256.0,0.29,291.0,0.31,39.0,0.282,,
A.J. Pollock,9256,1987-12-05,422,0.355,210.0,0.314,342.0,0.327,460.0,0.316,466.0,0.33,46.0,0.326
Paul Goldschmidt,9218,1987-09-10,679,0.365,231.0,0.41700000000000004,682.0,0.34600000000000003,690.0,0.389,665.0,0.40399999999999997,705.0,0.41100000000000003
Rafael Devers,17350,1996-10-24,664,0.35200000000000004,248.0,0.31,702.0,0.361,490.0,0.298,240.0,0.33799999999999997,,
Jose Ramirez,13510,1992-09-17,636,0.355,254.0,0.386,542.0,0.327,698.0,0.387,645.0,0.374,618.0,0.363
Cedric Mullins II,17929,1994-10-01,675,0.36,153.0,0.315,74.0,0.18100000000000002,191.0,0.312,,,,
Mitch Garver,15161,1991-01-15,243,0.358,81.0,0.247,359.0,0.365,335.0,0.335,52.0,0.28800000000000003,,
Giancarlo Stanton,4949,1989-11-08,579,0.354,94.0,0.387,72.0,0.40299999999999997,705.0,0.34299999999999997,692.0,0.376,470.0,0.326
Yordan Alvarez,19556,1997-06-27,598,0.34600000000000003,9.0,0.33299999999999996,369.0,0.41200000000000003,,,,,,
Brandon Nimmo,12927,1993-03-27,386,0.401,225.0,0.40399999999999997,254.0,0.375,535.0,0.40399999999999997,215.0,0.379,80.0,0.33799999999999997
Teoscar Hernandez,13066,1992-10-15,595,0.34600000000000003,207.0,0.34,464.0,0.306,523.0,0.302,95.0,0.305,112.0,0.304
Xander Bogaerts,12161,1992-10-01,603,0.37,225.0,0.364,698.0,0.384,580.0,0.36,635.0,0.34299999999999997,719.0,0.35600000000000004
Marcus Semien,12533,1990-09-17,724,0.33399999999999996,236.0,0.305,747.0,0.369,703.0,0.318,386.0,0.325,621.0,0.3
Garrett Cooper,15279,1990-12-25,250,0.38,133.0,0.353,421.0,0.344,38.0,0.316,45.0,0.33299999999999996,,
Connor Joe,16572,1992-08-16,211,0.379,,,16.0,0.125,,,,,,
Mookie Betts,13611,1992-10-07,550,0.36700000000000005,246.0,0.366,706.0,0.391,614.0,0.43799999999999994,712.0,0.344,730.0,0.363
Rhys Hoskins,16472,1993-03-17,443,0.33399999999999996,185.0,0.384,705.0,0.364,660.0,0.354,212.0,0.396,,
Starling Marte,9241,1988-10-09,526,0.38299999999999995,250.0,0.34,586.0,0.342,606.0,0.327,339.0,0.33299999999999996,529.0,0.36200000000000004
J.D. Martinez,6184,1987-08-21,634,0.349,237.0,0.29100000000000004,657.0,0.38299999999999995,649.0,0.402,489.0,0.376,517.0,0.373
Will Smith,19197,1995-03-28,501,0.365,137.0,0.401,196.0,0.337,,,,,,
Carlos Correa,14162,1994-09-22,640,0.366,221.0,0.326,321.0,0.358,468.0,0.32299999999999995,481.0,0.391,660.0,0.361
Brandon Lowe,18882,1994-07-06,615,0.34,224.0,0.36200000000000004,327.0,0.336,148.0,0.324,,,,
Yuli Gurriel,19198,1984-06-09,605,0.38299999999999995,230.0,0.27399999999999997,612.0,0.34299999999999997,573.0,0.32299999999999995,564.0,0.332,137.0,0.292
Jonathan India,21523,1996-12-15,631,0.376,,,,,,,,,,
Pete Alonso,19251,1994-12-07,637,0.344,239.0,0.326,693.0,0.358,,,,,,
Salvador Perez,7304,1990-05-10,665,0.316,156.0,0.353,,,544.0,0.27399999999999997,499.0,0.297,546.0,0.28800000000000003
Mike Zunino,13265,1991-03-25,375,0.301,84.0,0.23800000000000002,289.0,0.23199999999999998,405.0,0.259,435.0,0.331,192.0,0.318
Justin Turner,5235,1984-11-23,612,0.361,175.0,0.4,549.0,0.37200000000000005,426.0,0.406,543.0,0.415,622.0,0.33899999999999997
Luke Maile,13355,1991-02-06,34,0.382,,,129.0,0.205,231.0,0.33299999999999996,136.0,0.17600000000000002,126.0,0.252
J.D. Davis,16219,1993-04-27,211,0.384,229.0,0.371,453.0,0.369,113.0,0.248,68.0,0.27899999999999997,,
Jared Walsh,18607,1993-07-30,585,0.34,108.0,0.324,87.0,0.276,,,,,,
Jose Altuve,5417,1990-05-06,678,0.35,210.0,0.28600000000000003,548.0,0.353,599.0,0.386,662.0,0.41,717.0,0.396
Kris Bryant,15429,1992-01-04,586,0.353,147.0,0.293,634.0,0.382,457.0,0.374,665.0,0.409,699.0,0.385
Matt Vierling,21558,1996-09-16,77,0.364,,,,,,,,,,
Rafael Ortega,10323,1991-05-15,330,0.36,,,96.0,0.271,143.0,0.287,,,202.0,0.28300000000000003
Adam Engel,15082,1991-12-09,140,0.336,93.0,0.33299999999999996,248.0,0.304,463.0,0.27899999999999997,336.0,0.235,,
Franmil Reyes,14566,1995-07-07,466,0.324,241.0,0.344,548.0,0.31,285.0,0.34,,,,
Jose Abreu,15676,1987-01-29,659,0.35100000000000003,262.0,0.37,693.0,0.33,553.0,0.325,675.0,0.354,695.0,0.353
Bo Bichette,19612,1998-03-05,690,0.34299999999999997,128.0,0.32799999999999996,212.0,0.358,,,,,,
Ty France,17982,1994-07-13,650,0.368,155.0,0.368,201.0,0.294,,,,,,
Alfonso Rivas,21560,1996-09-13,49,0.38799999999999996,,,,,,,,,,
Josh Donaldson,5038,1985-12-08,543,0.35200000000000004,102.0,0.373,659.0,0.379,219.0,0.35200000000000004,496.0,0.385,700.0,0.40399999999999997
Delino DeShields,11379,1992-08-16,58,0.375,120.0,0.31,408.0,0.325,393.0,0.31,440.0,0.34700000000000003,203.0,0.275
Evan Longoria,9368,1985-10-07,291,0.35100000000000003,209.0,0.297,508.0,0.325,512.0,0.281,677.0,0.313,685.0,0.318
Gavin Sheets,19901,1996-04-23,179,0.324,,,,,,,,,,
Josh Bell,13145,1992-08-14,568,0.34700000000000003,223.0,0.305,613.0,0.36700000000000005,583.0,0.35700000000000004,620.0,0.33399999999999996,152.0,0.368
Tony Kemp,14894,1991-10-31,397,0.382,114.0,0.363,279.0,0.29100000000000004,295.0,0.35100000000000003,39.0,0.256,136.0,0.29600000000000004
Manny Machado,11493,1992-07-06,640,0.34700000000000003,254.0,0.37,661.0,0.33399999999999996,709.0,0.36700000000000005,690.0,0.31,696.0,0.34299999999999997
Randy Arozarena,19290,1995-02-28,604,0.35600000000000004,76.0,0.382,23.0,0.391,,,,,,
Willy Adames,15986,1995-09-02,555,0.337,205.0,0.332,584.0,0.317,323.0,0.348,,,,
Jorge Polanco,13152,1993-07-05,644,0.32299999999999995,226.0,0.304,704.0,0.35600000000000004,333.0,0.345,544.0,0.313,270.0,0.332
Joey Gallo,14128,1993-11-19,616,0.35100000000000003,226.0,0.301,297.0,0.389,577.0,0.312,532.0,0.33299999999999996,30.0,0.2
Wander Franco,23667,2001-03-01,308,0.34700000000000003,,,,,,,,,,
Yoan Moncada,17232,1995-05-27,616,0.375,231.0,0.32,559.0,0.36700000000000005,650.0,0.315,231.0,0.33799999999999997,20.0,0.25
Jason Castro,8722,1987-06-18,179,0.35600000000000004,92.0,0.293,275.0,0.332,74.0,0.257,407.0,0.33299999999999996,376.0,0.307
Michael Brantley,4106,1987-05-15,508,0.36200000000000004,187.0,0.364,637.0,0.37200000000000005,631.0,0.364,375.0,0.35700000000000004,43.0,0.27899999999999997
Patrick Wisdom,13602,1991-08-27,375,0.305,2.0,0.0,28.0,0.185,58.0,0.36200000000000004,,,,
Nelson Cruz,2434,1980-07-01,584,0.33399999999999996,214.0,0.397,521.0,0.392,591.0,0.342,645.0,0.375,667.0,0.36
Tyler Stephenson,17988,1996-08-16,402,0.366,20.0,0.4,,,,,,,,
Thairo Estrada,16426,1996-02-22,132,0.33299999999999996,52.0,0.231,69.0,0.294,,,,,,
Avisail Garcia,5760,1991-06-12,515,0.33,207.0,0.33299999999999996,530.0,0.332,385.0,0.281,561.0,0.38,453.0,0.307
Tyler Naquin,13359,1991-04-24,454,0.33299999999999996,141.0,0.248,294.0,0.325,183.0,0.295,40.0,0.25,365.0,0.37200000000000005
Tim Anderson,15172,1993-06-23,551,0.33799999999999997,221.0,0.35700000000000004,518.0,0.35700000000000004,606.0,0.281,606.0,0.276,431.0,0.306
Jeimer Candelario,13621,1993-11-24,626,0.35100000000000003,206.0,0.369,386.0,0.306,619.0,0.317,142.0,0.359,14.0,0.28600000000000003
Jake Burger,22275,1996-04-10,42,0.33299999999999996,,,,,,,,,,
Javier Baez,12979,1992-12-01,547,0.319,235.0,0.23800000000000002,561.0,0.316,645.0,0.326,508.0,0.317,450.0,0.314
Hunter Renfroe,15464,1992-01-28,572,0.315,139.0,0.252,494.0,0.289,441.0,0.302,479.0,0.284,36.0,0.389
Santiago Espinal,19997,1994-11-13,246,0.376,66.0,0.308,,,,,,,,
LaMonte Wade Jr.,18126,1994-01-01,381,0.326,44.0,0.318,69.0,0.348,,,,,,
Brendan Rodgers,17907,1996-08-09,415,0.32799999999999996,21.0,0.095,81.0,0.272,,,,,,
Trevor Story,12564,1992-11-15,595,0.32899999999999996,259.0,0.355,656.0,0.363,656.0,0.348,555.0,0.308,415.0,0.341
Jake Cronenworth,18036,1994-01-21,643,0.34,192.0,0.354,,,,,,,,
Ramon Urias,18795,1994-06-03,296,0.361,27.0,0.40700000000000003,,,,,,,,
Adam Frazier,15223,1991-12-14,639,0.368,230.0,0.297,608.0,0.336,352.0,0.342,454.0,0.344,160.0,0.35600000000000004
Luis Urias,16622,1997-06-03,570,0.345,120.0,0.308,249.0,0.32899999999999996,53.0,0.264,,,,
Mitch Haniger,14274,1990-12-23,691,0.318,,,283.0,0.314,683.0,0.366,410.0,0.35200000000000004,123.0,0.309
Matt Beaty,17710,1993-04-28,234,0.363,54.0,0.278,268.0,0.317,,,,,,
Jesus Sanchez,19913,1997-10-07,251,0.319,29.0,0.172,,,,,,,,
Bryan De La Cruz,19600,1996-12-16,219,0.35600000000000004,,,,,,,,,,
Anthony Rizzo,3473,1989-08-08,576,0.344,243.0,0.342,613.0,0.405,665.0,0.376,691.0,0.392,676.0,0.385
Jake Rogers,19452,1995-04-18,127,0.306,,,128.0,0.222,,,,,,
Chris Taylor,13757,1990-08-29,582,0.344,214.0,0.366,414.0,0.33299999999999996,604.0,0.331,568.0,0.354,65.0,0.262
T.J. Friedl,19522,1995-08-14,36,0.361,,,,,,,,,,
Enrique Hernandez,10472,1991-08-24,585,0.337,148.0,0.27,460.0,0.304,462.0,0.336,342.0,0.308,244.0,0.28300000000000003
Jean Segura,5933,1990-03-17,567,0.348,217.0,0.34700000000000003,618.0,0.32299999999999995,632.0,0.341,566.0,0.349,694.0,0.368
Robbie Grossman,5254,1989-09-16,671,0.35700000000000004,192.0,0.344,482.0,0.33399999999999996,465.0,0.36700000000000005,456.0,0.361,389.0,0.386
Jordan Luplow,16424,1993-09-26,193,0.326,92.0,0.304,261.0,0.37200000000000005,103.0,0.272,87.0,0.276,,
Wilmer Flores,5827,1991-08-06,436,0.335,213.0,0.315,285.0,0.361,429.0,0.319,362.0,0.307,335.0,0.319
Willson Contreras,11609,1992-05-13,483,0.34,225.0,0.35600000000000004,409.0,0.355,544.0,0.33899999999999997,428.0,0.35600000000000004,283.0,0.35700000000000004
Nathaniel Lowe,19566,1995-07-07,642,0.35700000000000004,76.0,0.316,169.0,0.325,,,,,,
Kolten Wong,12532,1990-10-10,492,0.335,208.0,0.35,549.0,0.361,407.0,0.332,411.0,0.376,361.0,0.327
Robinson Chirinos,3142,1984-06-05,112,0.324,82.0,0.23199999999999998,437.0,0.34700000000000003,426.0,0.33799999999999997,309.0,0.36,170.0,0.314
Nolan Arenado,9777,1991-04-16,653,0.312,201.0,0.303,662.0,0.379,673.0,0.374,680.0,0.373,696.0,0.36200000000000004
Ozzie Albies,16556,1997-01-07,686,0.31,124.0,0.306,702.0,0.35200000000000004,684.0,0.305,244.0,0.354,,
Dylan Carlson,20126,1998-10-23,619,0.34299999999999997,119.0,0.252,,,,,,,,
J.T. Realmuto,11739,1991-03-18,537,0.34299999999999997,195.0,0.349,593.0,0.32799999999999996,531.0,0.34,579.0,0.332,545.0,0.34299999999999997
Alex Bregman,17678,1994-03-30,400,0.355,180.0,0.35,690.0,0.423,705.0,0.39399999999999996,626.0,0.35200000000000004,217.0,0.313
Dustin Garneau,9433,1987-08-13,68,0.25,46.0,0.273,101.0,0.35,3.0,0.667,126.0,0.272,75.0,0.293
Nick Madrigal,20521,1997-03-05,215,0.349,109.0,0.376,,,,,,,,
Ryan Mountcastle,18373,1997-02-18,586,0.309,140.0,0.386,,,,,,,,
Andrew McCutchen,9847,1986-10-10,574,0.33399999999999996,241.0,0.324,262.0,0.37799999999999995,682.0,0.368,650.0,0.363,675.0,0.336
Eduardo Escobar,6153,1989-01-05,599,0.314,222.0,0.27,699.0,0.32,631.0,0.33399999999999996,499.0,0.309,377.0,0.28
Ji-Man Choi,5452,1991-05-19,305,0.348,145.0,0.331,487.0,0.363,221.0,0.35700000000000004,18.0,0.33299999999999996,129.0,0.271
Ryan McMahon,15112,1994-12-14,596,0.331,193.0,0.295,539.0,0.32899999999999996,202.0,0.307,24.0,0.33299999999999996,,
Alex Verdugo,17027,1996-05-15,604,0.35100000000000003,221.0,0.36700000000000005,377.0,0.342,86.0,0.32899999999999996,25.0,0.24,,
Bobby Dalbec,19966,1995-06-29,453,0.298,92.0,0.359,,,,,,,,
Jesus Aguilar,11342,1990-06-30,510,0.32899999999999996,216.0,0.35200000000000004,369.0,0.325,566.0,0.35200000000000004,311.0,0.331,6.0,0.0
Brandon Drury,11615,1992-08-21,88,0.307,49.0,0.184,447.0,0.262,86.0,0.256,480.0,0.317,499.0,0.32899999999999996
Taylor Ward,17548,1993-12-14,237,0.332,102.0,0.33299999999999996,48.0,0.292,147.0,0.245,,,,
Mark Canha,11445,1989-02-15,625,0.358,243.0,0.387,497.0,0.396,411.0,0.32799999999999996,187.0,0.262,44.0,0.14
Lourdes Gurriel Jr.,19238,1993-10-10,541,0.319,224.0,0.348,343.0,0.327,263.0,0.309,,,,
Kyle Isbel,21614,1997-03-03,83,0.337,,,,,,,,,,
Tres Barrera,19977,1994-09-15,107,0.374,,,2.0,0.0,,,,,,
Charlie Blackmon,7859,1986-07-01,582,0.35100000000000003,247.0,0.35600000000000004,634.0,0.364,696.0,0.358,725.0,0.39899999999999997,641.0,0.381
Tyrone Taylor,13675,1994-01-22,271,0.321,41.0,0.293,12.0,0.5,,,,,,
Riley Adams,19864,1996-06-26,120,0.358,,,,,,,,,,
Christian Arroyo,16434,1995-05-30,181,0.324,54.0,0.29600000000000004,57.0,0.304,59.0,0.33899999999999997,135.0,0.244,,
Luke Voit,14811,1991-02-13,241,0.32799999999999996,234.0,0.33799999999999997,510.0,0.37799999999999995,161.0,0.39799999999999996,124.0,0.306,,
Andy Young,19521,1994-05-10,104,0.298,34.0,0.382,,,,,,,,
Miguel Sano,12164,1993-05-11,532,0.312,205.0,0.278,439.0,0.34600000000000003,299.0,0.281,483.0,0.35200000000000004,495.0,0.319
Brad Miller,12775,1989-10-18,377,0.321,171.0,0.35700000000000004,170.0,0.32899999999999996,254.0,0.311,407.0,0.327,601.0,0.304
Geraldo Perdomo,22799,1999-10-22,37,0.37799999999999995,,,,,,,,,,
Harrison Bader,18030,1994-06-03,401,0.324,125.0,0.336,406.0,0.314,427.0,0.33399999999999996,92.0,0.28300000000000003,,
Wil Myers,10047,1990-12-10,500,0.33399999999999996,218.0,0.353,490.0,0.321,343.0,0.318,649.0,0.32799999999999996,676.0,0.336
Alejandro Kirk,22581,1998-11-06,189,0.32799999999999996,25.0,0.4,,,,,,,,
Elias Diaz,11680,1990-11-17,371,0.31,73.0,0.28800000000000003,332.0,0.29600000000000004,277.0,0.33899999999999997,200.0,0.265,4.0,0.0
Nico Hoerner,21479,1997-05-13,170,0.382,126.0,0.312,82.0,0.305,,,,,,
Max Schrock,17750,1994-10-12,134,0.32799999999999996,17.0,0.17600000000000002,,,,,,,,
Danny Jansen,16535,1995-04-15,205,0.299,147.0,0.313,384.0,0.27899999999999997,95.0,0.34700000000000003,,,,
Akil Baddoo,22168,1998-08-16,461,0.33,,,,,,,,,,
Nicky Lopez,19339,1995-03-13,565,0.365,192.0,0.28600000000000003,402.0,0.276,,,,,,
Carson Kelly,13620,1994-07-14,359,0.34299999999999997,129.0,0.264,365.0,0.348,42.0,0.205,75.0,0.24,14.0,0.214
Jake Meyers,20308,1996-06-18,163,0.32299999999999995,,,,,,,,,,
Austin Hays,19363,1995-07-05,529,0.308,134.0,0.32799999999999996,75.0,0.373,,,63.0,0.23800000000000002,,
Ian Happ,17919,1994-08-12,535,0.32299999999999995,231.0,0.361,156.0,0.33299999999999996,462.0,0.353,413.0,0.32799999999999996,,
Andrew Benintendi,17901,1994-07-06,538,0.324,52.0,0.314,615.0,0.34299999999999997,661.0,0.366,658.0,0.35200000000000004,118.0,0.359
Lane Thomas,16939,1995-08-23,264,0.341,40.0,0.2,44.0,0.409,,,,,,
Ramon Laureano,17128,1994-07-15,378,0.317,222.0,0.33799999999999997,481.0,0.34,176.0,0.358,,,,
Steven Duggar,17719,1993-11-04,297,0.33,36.0,0.222,281.0,0.278,152.0,0.303,,,,
Austin Meadows,15672,1995-05-03,591,0.315,152.0,0.29600000000000004,591.0,0.364,191.0,0.325,,,,
Josh Rojas,19734,1994-06-30,550,0.341,70.0,0.257,157.0,0.312,,,,,,
Matt Duffy,13836,1991-01-15,322,0.35700000000000004,,,169.0,0.34299999999999997,560.0,0.361,,,366.0,0.31
Max Stassi,10059,1991-03-15,319,0.326,105.0,0.35200000000000004,147.0,0.21100000000000002,250.0,0.316,31.0,0.32299999999999995,13.0,0.077
Chas McCormick,19599,1995-04-19,320,0.319,,,,,,,,,,
Trey Mancini,15149,1992-03-18,616,0.326,,,679.0,0.364,636.0,0.299,586.0,0.33799999999999997,15.0,0.4
Mike Yastrzemski,14854,1990-08-23,532,0.311,225.0,0.4,411.0,0.33399999999999996,,,,,,
Kevin Plawecki,13807,1991-02-26,173,0.349,89.0,0.39299999999999996,174.0,0.287,277.0,0.315,118.0,0.364,151.0,0.298
Andy Ibanez,18819,1993-04-03,272,0.321,,,,,,,,,,
Yandy Diaz,16578,1991-08-08,541,0.353,138.0,0.428,347.0,0.34,120.0,0.375,179.0,0.35200000000000004,,
Christian Yelich,11477,1991-12-05,475,0.36200000000000004,247.0,0.35600000000000004,580.0,0.429,651.0,0.402,695.0,0.369,659.0,0.376
Keibert Ruiz,19610,1998-07-20,96,0.33299999999999996,8.0,0.25,,,,,,,,
Alcides Escobar,6310,1986-12-16,349,0.34,,,,,531.0,0.27899999999999997,629.0,0.272,682.0,0.292
Daniel Vogelbach,14130,1992-12-17,258,0.349,136.0,0.331,558.0,0.341,102.0,0.324,31.0,0.29,13.0,0.154
Josh Harrison,8202,1987-07-08,558,0.341,91.0,0.35200000000000004,147.0,0.218,374.0,0.293,542.0,0.33899999999999997,522.0,0.311
Donovan Solano,8623,1987-12-17,344,0.344,203.0,0.365,228.0,0.36,,,,,23.0,0.261
Adam Duvall,10950,1988-09-04,555,0.281,209.0,0.301,130.0,0.315,427.0,0.27399999999999997,647.0,0.301,608.0,0.297
Jonathan Schoop,11265,1991-10-16,674,0.32,177.0,0.324,464.0,0.304,501.0,0.266,675.0,0.33799999999999997,647.0,0.298
Jorge Soler,14221,1992-02-25,602,0.316,174.0,0.326,679.0,0.354,257.0,0.354,110.0,0.245,264.0,0.33299999999999996
Jake Fraley,19260,1995-05-25,265,0.35200000000000004,29.0,0.24100000000000002,41.0,0.171,,,,,,
Dansby Swanson,18314,1994-02-11,653,0.311,264.0,0.345,545.0,0.325,533.0,0.304,551.0,0.312,145.0,0.361
Omar Narvaez,13338,1992-02-10,445,0.342,126.0,0.294,482.0,0.353,322.0,0.366,295.0,0.373,117.0,0.35
Daulton Varsho,19918,1996-07-02,315,0.318,115.0,0.287,,,,,,,,
Ben Gamel,12160,1992-05-17,400,0.34700000000000003,127.0,0.315,356.0,0.337,293.0,0.358,550.0,0.322,57.0,0.278
Edmundo Sosa,17022,1996-03-06,326,0.34600000000000003,,,10.0,0.4,3.0,0.33299999999999996,,,,
Michael Conforto,16376,1993-03-01,479,0.344,233.0,0.41200000000000003,648.0,0.363,638.0,0.35,440.0,0.384,348.0,0.31
Luis Arraez,18568,1997-04-09,479,0.35700000000000004,121.0,0.364,366.0,0.39899999999999997,,,,,,
Austin Slater,16153,1992-12-13,306,0.32,104.0,0.408,192.0,0.33299999999999996,225.0,0.33299999999999996,127.0,0.33899999999999997,,
Abraham Almonte,5486,1989-06-27,175,0.331,13.0,0.231,38.0,0.42100000000000004,151.0,0.26,195.0,0.314,194.0,0.294
Yadiel Hernandez,19334,1987-10-09,289,0.32899999999999996,28.0,0.214,,,,,,,,
Trent Grisham,18564,1996-11-01,527,0.327,252.0,0.35200000000000004,183.0,0.32799999999999996,,,,,,
Austin Dean,18288,1993-10-14,38,0.342,7.0,0.5710000000000001,189.0,0.261,122.0,0.27899999999999997,,,,
Kyle Lewis,19508,1995-07-13,147,0.33299999999999996,242.0,0.364,75.0,0.293,,,,,,
Francisco Mejia,16403,1995-10-27,277,0.322,42.0,0.14300000000000002,244.0,0.316,62.0,0.258,14.0,0.214,,
Jonathan Villar,10071,1991-05-02,505,0.322,207.0,0.301,714.0,0.33899999999999997,515.0,0.325,436.0,0.293,679.0,0.369
Eric Hosmer,3516,1989-10-24,565,0.337,156.0,0.33299999999999996,667.0,0.31,677.0,0.322,671.0,0.385,667.0,0.32799999999999996
Ryan Zimmerman,4220,1984-09-28,273,0.28600000000000003,,,190.0,0.321,323.0,0.337,576.0,0.358,467.0,0.272
Lorenzo Cain,9077,1986-04-13,286,0.32899999999999996,21.0,0.429,623.0,0.325,620.0,0.395,645.0,0.363,434.0,0.33899999999999997
Jace Peterson,12325,1990-05-09,302,0.348,61.0,0.39299999999999996,108.0,0.26899999999999996,246.0,0.31,215.0,0.318,408.0,0.35
Tommy Pham,2967,1988-03-08,561,0.34,125.0,0.312,654.0,0.369,570.0,0.36700000000000005,530.0,0.41100000000000003,183.0,0.324
Pavin Smith,19892,1996-02-06,545,0.32799999999999996,44.0,0.341,,,,,,,,
Sam Hilliard,17954,1994-02-21,238,0.294,114.0,0.272,87.0,0.35600000000000004,,,,,,
Colin Moran,16909,1992-10-01,359,0.33399999999999996,200.0,0.325,503.0,0.322,465.0,0.34,12.0,0.41700000000000004,25.0,0.2
Yermin Mercedes,17423,1993-02-14,262,0.32799999999999996,1.0,0.0,,,,,,,,
Corey Dickerson,10762,1989-05-22,365,0.326,210.0,0.311,279.0,0.341,533.0,0.33,629.0,0.325,548.0,0.293
Eloy Jimenez,17484,1996-11-27,231,0.303,226.0,0.332,504.0,0.315,,,,,,
Joey Wendle,13853,1990-04-26,501,0.319,184.0,0.342,263.0,0.293,545.0,0.354,14.0,0.35700000000000004,104.0,0.298
