pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
10,2136,Y,321200,10288,1992,0,1681,1,R,RR,G,M,6,3,2,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
40,2124,Y,450500,3187,1900,2001,1868,2,R,CL,M,W,7,4,1,1,M,1,M,W,N,0,G,G,A,N,F,02124,47783,15913,48841,"Dorchester Center, MA"
70,2130,Y,794300,6007,1962,2001,2146,2,R,CL,G,M,8,3,2,1,S,1,S,W,N,2,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
80,2136,Y,342100,5500,1949,2002,1357,1.5,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
90,2124,Y,444700,3026,1900,0,2346,2.5,R,CL,L,M,10,6,1,1,M,1,M,F,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
100,2131,Y,518500,4950,1900,2012,2032,2,R,CL,G,A,8,4,2,1,M,1,M,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
110,2132,Y,467200,7500,1887,0,1648,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
120,2131,Y,432600,5000,1910,0,1772,2,R,CL,G,A,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
130,2136,Y,294900,6400,1933,0,1532,2,R,CL,H,M,8,4,1,0,S,1,M,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
140,2124,Y,329200,4449,1925,0,1224,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
150,2132,Y,313800,4001,1935,1989,988,1,R,BW,G,M,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
160,2136,N,378700,7948,1920,0,2646,2,R,CL,G,M,11,5,3,0,S,2,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
190,2130,Y,499300,4020,1926,0,1768,1.5,R,CP,G,M,6,2,1,0,S,1,S,W,N,1,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
200,2132,Y,697900,9397,1920,0,2448,2,R,CL,G,W,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
210,2136,Y,229500,4275,1955,1979,864,1,R,RN,G,A,5,3,1,0,S,1,M,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
270,2132,Y,445300,6999,1912,0,1556,2,R,CL,G,M,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
280,2130,Y,1076000,7526,1935,0,3036,2,R,CL,H,W,10,4,3,1,M,1,M,W,N,1,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
300,2136,Y,376200,6250,1950,0,1550,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
310,2136,Y,380500,6000,1930,0,1440,2,R,CL,H,W,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
320,2132,Y,626200,8492,1900,0,2680,2,R,CL,H,A,10,5,1,1,S,1,S,W,N,1,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
330,2136,Y,577900,5958,2005,NA,2790,2,R,CL,G,F,8,4,2,1,M,1,M,F,C,1,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
340,2132,Y,590300,6091,1920,0,2242,2,R,CL,H,M,7,3,2,0,M,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
350,2136,Y,451600,6725,1960,0,1185,1,R,CP,G,M,7,2,1,1,M,1,M,F,C,1,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
360,2132,N,451600,6375,1900,0,1706,2,R,CL,L,W,7,4,1,1,S,1,N,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
370,2131,Y,586900,16141,1900,2001,2495,2,R,CL,G,F,8,3,1,1,N,1,M,F,N,0,G,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
380,2132,Y,729400,13692,1920,1998,2619,2,R,CL,H,S,8,4,2,1,S,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
390,2132,Y,455200,6000,1940,2011,1344,2,R,CL,G,W,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
400,2124,N,363300,3037,1900,2016,1715,2,R,CL,G,W,7,4,1,1,M,1,M,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
410,2124,Y,384500,4999,1900,2010,2223,2,R,CL,L,W,8,5,2,1,M,1,M,F,N,1,A,G,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
430,2136,Y,350800,6622,1960,0,1075,1,R,CP,S,M,7,4,3,0,S,2,S,W,N,2,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
460,2132,N,548700,5500,1960,0,1498,1.5,R,CP,G,W,9,3,2,0,S,1,S,W,N,1,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
470,2132,N,383100,3499,1905,0,1381,2,R,CL,L,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,F,02132,36314,13251,75446,"Cambridge, MA"
480,2132,Y,344800,5987,1960,0,972,1,R,RN,G,M,6,3,1,0,S,1,S,F,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
490,2132,N,413800,3203,1920,0,1540,2,R,CL,L,M,7,4,2,0,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
500,2132,Y,635900,11905,1910,0,1817,2,R,CL,H,W,7,3,1,0,S,1,S,W,N,0,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
510,2131,N,306100,6400,1915,2006,694,1.5,R,CP,G,M,5,2,1,0,M,1,M,W,N,0,A,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
530,2124,Y,602100,17375,1890,2015,2314,2,R,CV,G,M,10,3,2,1,S,1,S,W,N,1,G,G,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
540,2124,N,233100,2430,1984,0,926,2,R,RE,G,W,4,2,1,0,S,1,S,E,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
550,2131,Y,420500,3897,1905,0,1509,2,R,CL,G,M,6,3,1,0,S,1,S,W,N,0,G,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
560,2132,Y,728900,8357,1927,2007,3607,2,R,CL,G,M,10,3,2,1,M,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
570,2136,Y,330800,5000,1986,0,1318,1.5,R,CP,G,M,6,3,1,1,S,1,S,E,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
590,2132,Y,373500,4800,1950,1989,1134,1,R,CP,G,W,7,3,1,0,S,1,S,F,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
600,2131,Y,419600,7610,1950,0,988,1,R,RN,G,M,5,3,1,0,M,1,M,W,N,1,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
610,2136,Y,331600,5880,1925,0,1680,1.5,R,CP,G,M,9,5,2,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
630,2132,Y,499300,10815,1903,2015,1988,2,R,CL,G,W,7,4,1,1,M,1,M,W,N,1,A,G,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
650,2124,N,403400,3948,2002,NA,1606,2,R,SD,G,M,7,3,2,0,M,1,M,F,C,0,G,G,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
670,2136,Y,410200,10000,1900,2008,2007,2,R,CL,G,M,6,3,1,0,M,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
690,2130,Y,624900,6279,1900,2009,2860,2,R,CL,H,W,8,6,1,1,S,1,S,W,N,1,F,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
700,2130,Y,709600,5075,1916,0,1971,2,R,CL,L,W,10,3,2,0,M,1,S,W,N,1,G,G,G,N,G,02130,35401,10618,75730,"Jamaica Plain, MA"
720,2136,Y,287100,3816,1915,2016,1365,1.5,R,CV,G,M,7,4,1,0,S,1,M,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
740,2131,Y,328100,3000,1925,0,864,1,R,BW,H,F,5,2,1,0,S,1,S,F,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
750,2136,Y,188400,6000,1948,0,616,1,R,RN,G,A,4,2,1,0,N,1,N,F,N,0,A,F,F,N,A,02136,28488,6207,58890,"Hyde Park, MA"
760,2136,Y,345100,15351,1950,0,1571,1,R,RR,G,M,7,3,2,0,S,1,S,F,C,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
790,2132,Y,613600,8535,1930,2008,2228,2,R,CL,G,W,8,4,2,0,M,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
800,2132,Y,348600,6000,1960,0,1555,1,R,RR,G,W,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
810,2131,Y,269800,4697,1941,0,1092,1.5,R,CP,G,M,6,2,1,0,S,1,S,F,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
850,2132,N,226890,4045,1934,0,1042,1,R,BW,G,W,5,3,1,0,S,1,S,W,N,0,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
860,2136,Y,300300,5920,1956,0,1306,1.5,R,CP,G,W,6,2,2,0,M,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
870,2131,Y,464800,4016,1900,0,1783,2,R,CL,G,A,7,3,1,0,M,1,M,W,N,0,A,A,A,N,G,02131,29826,11505,66735,"Roslindale, MA"
880,2136,N,304300,5000,1989,0,1025,1,R,RN,G,M,5,3,1,0,M,1,M,E,N,0,A,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
890,2136,Y,331900,5267,1960,0,1179,1,R,RN,H,M,5,2,1,1,S,1,S,W,C,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
900,2124,Y,282600,3195,1915,0,1973,2,R,CL,G,A,12,6,1,1,S,1,S,F,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
910,2136,Y,799600,49350,1870,0,3245,2,R,VT,M,M,9,4,2,1,S,1,S,W,C,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
920,2131,Y,426500,4500,1900,0,1446,2,R,CL,H,W,7,3,1,0,S,1,S,W,N,0,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
930,2132,Y,587000,6743,1930,0,1956,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,G,N,G,02132,36314,13251,75446,"Cambridge, MA"
940,2132,Y,446200,5200,1956,0,1378,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
960,2131,Y,655800,6866,1920,2013,1961,2,R,CL,L,W,9,6,1,1,M,1,M,W,N,1,G,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
980,2124,Y,343700,4200,1890,0,1723,1.5,R,CP,G,M,8,3,2,0,S,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1000,2130,Y,670800,3850,1900,0,2025,2,R,CL,G,F,9,4,2,0,S,1,S,W,N,0,F,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1030,2136,Y,366800,15105,1910,0,1224,2,R,CL,G,M,6,2,1,0,S,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1040,2131,Y,358100,7093,1920,0,2191,2,R,CL,H,A,7,5,2,0,N,1,N,W,N,0,A,A,A,N,G,02131,29826,11505,66735,"Roslindale, MA"
1050,2136,Y,562000,19600,1900,0,3286,2,R,CL,G,W,7,3,2,1,S,1,S,W,N,0,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1060,2132,Y,620800,9427,1940,2014,1812,2,R,CL,G,B,6,3,1,1,M,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1070,2136,N,316600,5587,1903,1982,1561,2,R,CL,H,S,7,4,1,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1080,2132,Y,347500,6000,1960,0,1555,1,R,RR,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1090,2132,Y,336600,4935,1950,0,840,1,R,CP,G,W,4,2,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1100,2132,N,454500,4768,1925,0,1345,2,R,CL,G,U,8,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1110,2136,Y,241400,3676,1948,0,592,1,R,RN,G,M,5,1,1,0,S,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1120,2124,Y,217400,2738,1991,0,1277,2,R,SD,G,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1130,2130,Y,669000,4755,1954,2004,1845,2,R,CL,G,W,7,3,1,1,M,1,M,W,C,1,G,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1140,2136,Y,562200,9309,2001,NA,2052,1,R,CL,H,M,8,4,2,1,M,1,M,W,C,1,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1150,2132,Y,491400,4761,1933,1992,1816,2.5,R,CL,G,M,7,3,1,1,N,1,N,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1170,2132,Y,406600,4922,1971,0,1607,2,R,CL,G,W,7,3,1,1,N,1,N,W,C,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1180,2124,Y,593400,7971,1900,0,3651,2,R,CL,L,W,11,6,1,1,S,1,S,W,N,1,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1190,2132,N,410500,4767,1956,0,1306,1.5,R,CP,G,M,6,3,1,1,S,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1200,2136,Y,405100,7423,1996,0,1624,2,R,CL,G,M,6,3,1,1,M,1,M,W,C,0,A,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1220,2130,Y,1015800,5631,1910,0,2522,2,R,CL,H,S,10,4,2,1,S,1,M,W,N,1,A,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1230,2136,Y,319400,5169,1950,0,1228,1,R,CP,G,W,6,3,1,0,S,1,S,F,N,1,F,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1250,2124,N,288700,4250,1880,0,1674,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1260,2131,Y,406600,4000,1910,0,1556,2,R,CL,L,M,7,3,1,0,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1270,2136,Y,325700,9391,1991,0,2093,1,R,RR,G,M,7,4,2,0,S,1,S,E,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1290,2132,Y,485300,6075,1940,0,1410,2,R,CL,G,W,6,3,1,1,S,1,S,W,N,1,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1300,2132,Y,930800,14475,1930,2003,3828,2,R,CL,G,B,11,4,2,2,S,1,S,W,N,2,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1310,2132,Y,507600,6255,1938,2008,1775,2,R,CL,G,M,7,3,1,1,S,1,S,W,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1330,2132,Y,619500,9227,1984,0,3013,1,R,RR,G,M,6,3,2,1,S,1,S,F,C,0,A,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1340,2136,Y,361500,6947,1900,0,1889,2,R,CL,G,M,7,4,2,1,S,1,M,F,N,1,A,A,A,N,F,02136,28488,6207,58890,"Hyde Park, MA"
1350,2130,Y,659900,13743,1950,2007,1480,2,R,CL,G,M,7,3,1,1,M,1,M,W,N,1,A,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1360,2136,Y,295900,7250,1955,1997,1029,1,R,RN,G,M,5,3,2,0,M,1,M,F,C,0,A,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1370,2132,Y,491200,5000,1911,0,1676,2,R,CL,H,M,6,3,1,0,S,1,N,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1400,2136,Y,470400,5756,1920,2013,1824,1.5,R,CL,G,M,7,4,2,1,M,1,M,W,C,0,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1410,2136,Y,268100,3500,1950,0,960,1,R,RN,G,M,5,3,2,0,M,1,S,W,N,1,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1420,2136,Y,305500,8323,1940,0,1165,1,R,CP,G,M,6,3,1,2,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1430,2130,Y,557400,3987,1938,0,1304,2,R,CL,L,M,6,3,1,0,S,1,S,W,N,2,A,A,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1440,2132,Y,509400,5768,1920,0,2110,2,R,CL,G,W,8,3,1,1,S,1,S,W,N,1,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1450,2132,N,752400,6900,1999,0,2536,2,R,CL,H,M,8,4,3,1,M,1,M,F,C,1,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1460,2124,Y,613300,4951,1890,0,2881,2,R,CL,G,W,10,4,2,0,S,1,M,W,N,4,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1470,2132,Y,392500,5000,1889,0,1290,2,R,CL,H,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1490,2132,N,539300,7875,1890,0,2408,2,R,CL,G,A,8,4,2,0,S,1,S,W,N,0,F,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1500,2132,Y,695100,7818,1907,2010,3166,2.5,R,CL,G,M,9,3,2,1,M,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1510,2132,Y,947000,13300,1910,0,3682,2,R,CL,H,M,10,4,2,1,M,1,M,F,C,1,G,G,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1540,2136,Y,364600,4870,1965,2005,1704,1.5,R,CP,G,W,8,3,3,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1550,2132,Y,399400,4615,1928,0,925,1,R,BW,H,M,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1560,2131,N,387500,5000,1910,0,1901,2,R,CL,G,W,8,5,2,0,N,1,N,W,N,0,F,F,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1570,2132,Y,630300,10000,1890,2004,2762,2,R,CL,G,M,12,6,2,1,S,1,M,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1580,2131,N,392700,3750,1930,0,1503,1.5,R,CP,G,M,4,2,1,0,S,1,S,F,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1590,2124,Y,451700,5575,1885,0,2640,2,R,CL,H,W,8,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1610,2132,Y,529700,6000,1985,0,1862,2,R,CL,G,M,8,4,2,0,S,1,S,W,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1630,2131,Y,539700,7479,1991,0,1836,2,R,CL,G,F,6,3,2,1,M,1,S,W,N,1,A,A,A,N,G,02131,29826,11505,66735,"Roslindale, MA"
1640,2132,Y,690300,6222,1910,2014,2024,2,R,CL,G,W,6,3,2,1,M,1,M,W,C,0,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1650,2132,N,537600,12024,1950,0,1396,1,R,RN,G,W,6,3,1,1,S,1,S,W,N,1,A,A,A,N,F,02132,36314,13251,75446,"Cambridge, MA"
1660,2130,Y,994600,9202,1958,2013,2572,1,R,SL,G,C,12,4,3,0,M,1,M,F,C,3,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
1680,2136,Y,282000,7480,1950,0,1040,1,R,RR,G,F,6,3,1,0,N,1,N,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1690,2132,Y,520300,6728,1910,0,2032,2,R,CL,H,M,8,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1720,2132,Y,644100,8477,1920,2015,2114,1.5,R,CL,G,B,8,4,2,0,M,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1730,2132,Y,390200,5009,1940,2013,1534,2,R,CL,G,M,8,4,1,0,S,1,M,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1740,2124,Y,383800,3115,1890,0,2198,2.5,R,CL,G,M,8,3,2,0,M,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
1770,2136,Y,356300,8750,1964,0,1238,1,R,CP,G,M,7,4,1,0,M,1,M,F,N,1,A,A,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1780,2132,Y,472900,6228,1925,1984,1836,1.5,R,BW,G,W,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1790,2136,Y,342000,5795,1966,0,1275,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
1800,2130,Y,450200,5872,1900,0,1216,1.5,R,CV,G,S,6,2,2,0,S,1,S,W,N,0,A,A,A,N,F,02130,35401,10618,75730,"Jamaica Plain, MA"
1810,2132,Y,392900,6020,1957,0,1495,1.5,R,CP,G,M,7,3,2,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1820,2131,N,510500,5000,1910,2006,2296,2,R,CL,H,S,9,5,1,1,M,1,M,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1830,2131,Y,459100,6600,1910,0,1500,2,R,CL,H,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1840,2132,Y,882600,10000,1880,2015,3629,2,R,CL,G,M,9,5,3,1,M,1,L,F,C,3,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
1870,2132,Y,468100,7616,1950,0,1500,1,R,RN,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1880,2130,Y,858500,7500,1935,0,1957,2,R,CL,G,W,6,3,1,1,M,1,M,W,C,1,G,G,G,N,G,02130,35401,10618,75730,"Jamaica Plain, MA"
1890,2131,Y,383300,4180,1940,2007,1193,2,R,CL,G,M,6,3,1,0,S,1,M,W,N,0,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
1910,2124,Y,381100,4987,1940,0,1530,2,R,CL,G,W,7,4,1,1,S,1,S,W,N,1,A,A,G,N,G,02124,47783,15913,48841,"Dorchester Center, MA"
1930,2132,Y,384000,3979,1960,0,1390,2,R,CL,G,W,7,4,1,1,S,1,S,E,N,2,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1940,2131,Y,448700,5088,1950,2013,1522,2,R,CL,G,W,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
1950,2132,Y,331600,3800,1930,0,1000,1,R,BW,H,M,5,2,1,0,S,1,N,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
1980,2132,Y,596900,5107,1935,2010,1702,2,R,CL,G,W,8,4,2,1,M,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
2000,2131,Y,639100,5000,2007,NA,1986,2,R,CL,H,F,8,4,3,1,M,1,M,F,C,0,G,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
2020,2136,Y,360000,5000,1960,0,1538,2,R,CL,G,M,8,4,1,1,S,1,M,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
2030,2132,Y,380900,4355,1950,2008,1338,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
2040,2124,Y,164700,5096,1915,0,5197,2,R,CL,H,M,8,9,2,1,N,1,N,F,N,0,A,A,F,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
2060,2136,Y,499900,7907,1998,0,1740,2,R,CL,G,M,7,3,2,1,M,1,M,W,C,0,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
2070,2136,Y,342300,6050,1955,1983,1562,1,R,RN,G,W,6,3,2,0,S,1,M,F,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
2080,2132,Y,435100,6750,1953,0,1600,1,R,RN,G,M,6,3,1,0,S,1,S,W,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
2090,2136,Y,512300,5000,2002,NA,2010,2,R,CL,G,M,7,3,2,1,M,1,M,F,C,0,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
2100,2132,Y,458900,4000,1925,2003,1392,2,R,CL,G,M,7,3,2,0,M,1,M,F,C,0,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
2110,2136,Y,276000,6998,1955,0,864,1,R,RN,G,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
2120,2132,Y,426700,5000,1938,0,1319,1.5,R,CP,L,W,6,2,1,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
2130,2132,Y,424400,7554,1960,0,1591,1.5,R,CP,S,M,7,3,2,0,S,1,S,F,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
2140,2132,N,497600,6025,1953,0,1700,1,R,RN,G,M,8,3,1,1,S,1,S,F,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
2160,2131,Y,563800,7400,1991,0,1503,1.5,R,CP,S,F,6,3,2,1,M,1,M,W,N,1,A,A,G,N,G,02131,29826,11505,66735,"Roslindale, MA"
2180,2132,Y,413400,6726,1950,2001,1306,1.5,R,CV,G,M,7,3,1,1,M,1,S,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
