"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
45,"Hasbro ","HAS","21/4/2017","Buy","-0.6%","-2.3%","0.1%","-13%","0.0%","0.6%","1%","15%"
46,"Grocery Outlet ","GO","11/11/2019","Buy","-1.2%","-6.0%","-6.5%","23%","0.1%","0.9%","3%","18%"
47,"Plug Power ","PLUG","12/1/2021","Positive Mention","-1.1%","-10.1%","-9.1%","-66%","0.3%","1.1%","3%","24%"
48,"Northrop Grumman ","NOC","8/11/2016","Buy","-1.0%","1.3%","-1.2%","25%","1.9%","0.7%","5%","22%"
49,"Lyft ","LYFT","2/6/2020","Negative Mention","2.1%","12.0%","-3.5%","64%","0.6%","2.2%","2%","36%"
50,"Moderna ","MRNA","25/2/2021","Buy","-2.0%","-14.6%","-20.3%","-1%","-1.0%","0.9%","4%","16%"
51,"Cardlytics ","CDLX","12/3/2020","Negative Mention","9.9%","-40.3%","-17.3%","160%","2.4%","-14.5%","3%","50%"
52,"Palo Alto Networks ","PANW","22/2/2022","Buy","-5.6%","21.9%","30.3%",,"-2.5%","3.8%","8%","0%"
53,"Clover Health Investments ","CLOV","21/7/2021","Sell","-8.8%","-4.6%","-5.8%","-69%","0.2%","1.2%","3%","-8%"
54,"AgEagle Aerial Systems ","UAVS","12/2/2021","Positive Mention","-5.2%","-37.2%","-44.8%","-93%","-0.4%","-1.3%","1%","13%"
55,"Baidu.com ","BIDU","26/4/2018","Buy","-0.8%","-0.1%","-3.9%","-34%","-0.2%","-0.2%","1%","12%"
56,"Salesforce ","CRM","22/8/2019","Buy","-3.9%","3.0%","2.0%","38%","-2.1%","2.7%","5%","23%"
57,"Western Digital ","WDC","6/12/2016","Buy","1.8%","-2.9%","2.5%","16%","1.4%","0.6%","2%","20%"
58,"Cisco Systems ","CSCO","6/11/2020","Buy","-4.3%","11.4%","16.1%","54%","-2.6%","2.3%","4%","34%"
59,"Lexicon Pharmaceuticals ","LXRX","5/10/2021","Buy","4.9%","11.3%","-10.5%","-55%","1.3%","0.1%","8%","-13%"
60,"Futu 0ings ","FUTU","23/8/2021","Sell","7.1%","-8.8%","-8.1%","-61%","0.0%","0.8%","-1%","-6%"
61,"Carvana ","CVNA","21/4/2022","Sell","-5.3%","-30.8%","-63.9%",,"-2.5%","-3.3%","-7%","0%"
62,"MGM Resorts ","MGM","4/11/2016","Positive Mention","-3.2%","0.7%","6.6%","18%","2.2%","1.6%","4%","24%"
63,"Estee Lauder ","EL","30/10/2020","Buy","-4.1%","10.0%","9.8%","46%","0.0%","7.4%","10%","41%"
64,"Vivint Solar ","VSLR","7/8/2018","Sell","-9.3%","-4.7%","-6.5%","74%","0.0%","-1.3%","1%","5%"
65,"Coinbase Global ","COIN","14/4/2021","Buy","-7.5%","-9.1%","-23.1%","-55%","0.5%","-0.9%","0%","7%"
66,"Dominion Energy ","D","12/3/2020","Buy","3.0%","-14.1%","1.6%","-1%","2.4%","-14.5%","3%","50%"
67,"Simon Property Group ","SPG","27/4/2020","Buy","4.2%","-4.4%","-5.7%","108%","-1.8%","0.2%","6%","48%"
68,"Northern Genesis Acquisit ","NGA","14/1/2021","Buy","-3.8%","-18.9%","-29.4%",,"-0.3%","1.9%","4%","0%"
69,"Asana ","ASAN","6/12/2021","Sell","6.2%","-12.6%","-17.1%","-82%","0.8%","-1.1%","0%","-15%"
70,"Rattler Midstream LP ","RTLR","3/2/2022","Buy","-3.4%","-0.5%","3.9%",,"0.5%","-1.8%","-7%","0%"
71,"CVS Health ","CVS","6/11/2020","Buy","-2.1%","8.8%","9.0%","42%","-2.6%","2.3%","4%","34%"
72,"Planet Fitness ","PLNT","4/11/2021","Buy","-2.3%","-3.6%","-11.8%","-36%","-0.2%","-0.3%","-2%","-18%"
73,"Analog Devices ","ADI","26/7/2016","Positive Mention","-5.2%","-0.7%","0.1%","29%","-0.3%","-0.2%","0%","16%"
74,"Workhorse Group ","WKHS","13/7/2020","Positive Mention","0.6%","-2.5%","-7.8%","-31%","1.8%","1.9%","6%","39%"
75,"Netflix ","NFLX","26/1/2022","Negative Mention","1.2%","4.9%","2.0%",,"-1.6%","3.6%","1%","0%"
76,"Qualcomm ","QCOM","12/3/2020","Buy","6.5%","-19.7%","-3.3%","78%","2.4%","-14.5%","3%","50%"
77,"Workhorse Group ","WKHS","1/7/2020","Sell","2.7%","-23.2%","-8.3%","-32%","-0.6%","0.7%","5%","41%"
78,"iQIYI ","IQ","13/11/2018","Sell","-1.6%","-0.2%","-13.2%","-16%","-1.4%","-1.9%","-4%","17%"
79,"Zuora ","ZUO","24/8/2018","Buy","-0.6%","-20.6%","-34.7%","-59%","0.3%","0.0%","1%","1%"
80,"General Motors ","GM","12/1/2021","Buy","-4.0%","14.6%","10.0%","27%","0.3%","1.1%","3%","24%"
81,"Mattel ","MAT","27/7/2021","Buy","-1.2%","0.7%","2.2%","8%","-0.2%","0.0%","3%","-6%"
82,"Mattel ","MAT","27/7/2021","Buy","-1.2%","0.7%","2.2%","8%","-0.2%","0.0%","3%","-6%"
83,"Twilio ","TWLO","12/3/2020","Negative Mention","-3.8%","5.2%","19.9%","362%","2.4%","-14.5%","3%","50%"
84,"Boeing ","BA","17/11/2020","Buy","-8.8%","7.0%","8.1%","12%","-1.3%","1.8%","4%","34%"
85,"DineEquity ","DIN","13/4/2020","Sell","-6.8%","-2.2%","8.5%","182%","1.0%","-3.8%","0%","47%"
86,"Brookfield Infrastructure ","BIP","6/4/2020","Sell","-3.4%","3.6%","1.5%","49%","-3.3%","7.0%","9%","56%"
87,"Kratos Defense & Security ","KTOS","10/2/2017","Buy","-2.2%","-1.6%","-16.4%","29%","0.3%","1.6%","2%","16%"
88,"Apple ","AAPL","1/8/2017","Buy","-1.3%","2.5%","4.8%","34%","0.0%","-0.1%","0%","16%"
89,"Revolve Group ","RVLV","12/6/2019","Buy","4.3%","9.6%","-6.3%","-63%","0.1%","2.2%","4%","7%"
90,"Lemonade ","LMND","6/11/2020","Buy","0.8%","-0.5%","39.8%","7%","-2.6%","2.3%","4%","34%"
91,"United Micro Electronics ","UMC","17/5/2021","Buy","-0.7%","4.6%","12.0%","0%","-0.9%","1.5%","2%","-4%"
92,"TransEnterix ","TRXC","30/11/2018","Buy","0.9%","-7.5%","-32.1%","-94%","-0.3%","-5.5%","-10%","14%"
93,"Ford Motor ","F","28/10/2020","Buy","-3.3%","1.1%","14.9%","116%","0.9%","6.1%","10%","41%"
94,"Kohl's ","KSS","27/4/2020","Sell","0.6%","-13.9%","1.4%","206%","-1.8%","0.2%","6%","48%"
95,"Penn National Gaming ","PENN","7/4/2020","Buy","10.2%","7.9%","43.0%","728%","2.3%","1.4%","7%","51%"
96,"XPO Logistics ","XPO","9/5/2022","Buy","-1.9%","0.5%","-1.4%",,"-1.3%","2.3%","1%","0%"
97,"Boyd Gaming ","BYD","7/4/2020","Sell","15.8%","-6.2%","15.4%","309%","2.3%","1.4%","7%","51%"
98,"AquaBounty Technologies ","AQB","10/12/2020","Positive Mention","-2.5%","11.7%","25.1%","-67%","0.4%","1.2%","4%","29%"
99,"Chemed ","CHE","28/4/2020","Sell","-5.3%","-4.3%","9.1%","9%","0.6%","-3.1%","4%","46%"
100,"PayPal ","PYPL","19/10/2017","Buy","-0.5%","0.1%","7.1%","20%","0.2%","0.2%","0%","9%"
101,"Macy's ","M","23/11/2020","Buy","-1.6%","-4.2%","-1.0%","198%","0.8%","0.8%","2%","31%"
102,"AbbVie ","ABBV","12/3/2020","Buy","2.4%","-19.4%","-5.9%","36%","2.4%","-14.5%","3%","50%"
103,"Invitae ","NVTA","10/1/2020","Buy","3.7%","2.0%","31.5%","150%","0.5%","1.0%","2%","18%"
104,"Beyond Meat ","BYND","26/5/2021","Buy","6.1%","0.3%","9.2%","-80%","-0.2%","-0.1%","2%","0%"
105,"Finisar ","FNSR","8/12/2016","Buy","-7.7%","-6.7%","-14.4%","-41%","0.5%","-0.1%","1%","20%"
106,"Delta Air Lines ","DAL","16/4/2020","Negative Mention","0.5%","-7.7%","-9.9%","90%","0.4%","-1.3%","3%","47%"
107,"Broadcom ","AVGO","8/12/2016","Positive Mention","-1.0%","0.2%","-0.6%","48%","0.5%","-0.1%","1%","20%"
108,"Diamondback Energy ","FANG","9/4/2020","Positive Mention","-10.5%","-4.7%","24.0%","131%","-0.5%","4.0%","6%","52%"
109,"Nano Dimension ","NNDM","11/12/2020","Negative Mention","2.2%","26.5%","39.7%","-39%","-1.1%","1.3%","4%","30%"
110,"Walmart ","WMT","14/8/2019","Buy","0.1%","-0.7%","2.6%","20%","-0.1%","2.7%","5%","21%"
111,"Wynn Resorts ","WYNN","13/11/2020","Buy","-3.0%","0.8%","13.5%","3%","0.4%","-1.4%","1%","31%"
112,"Azek Company ","AZEK","11/12/2020","Buy","-0.4%","4.1%","9.3%","13%","-1.1%","1.3%","4%","30%"
113,"Salesforce ","CRM","27/5/2021","Buy","-0.5%","-0.3%","2.7%","-33%","-0.2%","0.6%","2%","0%"
114,"InMode ","INMD","11/10/2019","Buy","5.3%","1.5%","67.1%","44%","0.0%","1.4%","4%","21%"
115,"Canopy Growth ","CGC","9/3/2020","Sell","1.3%","-26.9%","2.8%","125%","1.3%","-12.4%","-3%","38%"
116,"Foley Trasimene Acquisiti ","BFT","20/1/2021","Buy","4.0%","-18.7%","-12.3%","-82%","-0.1%","-1.7%","1%","16%"
117,"GrowGeneration ","GRWG","18/8/2020","Buy","17.7%","-36.2%","-27.5%","32%","-0.5%","3.1%","-2%","32%"
118,"Quest Diagnostics ","DGX","6/4/2020","Negative Mention","0.1%","8.0%","28.7%","56%","-3.3%","7.0%","9%","56%"
119,"The Trade Desk ","TTD","27/2/2020","Buy","8.5%","-11.9%","-31.2%","190%","2.6%","0.4%","-11%","34%"
120,"Funko ","FNKO","19/10/2018","Buy","4.1%","-10.3%","-24.4%","-10%","-0.7%","-4.1%","-2%","11%"
121,"Alteryx ","AYX","3/4/2020","Buy","3.9%","21.6%","23.2%","-6%","2.7%","4.1%","7%","56%"
122,"Logitech International ","LOGI","25/1/2022","Buy","-3.3%","3.6%","-6.1%",,"-1.7%","5.5%","1%","0%"
123,"Veru ","VERU","10/11/2021","Buy","0.8%","-8.8%","-31.6%","-26%","-0.3%","1.3%","1%","-13%"
124,"Helmerich & Payne ","HP","28/4/2020","Sell","5.6%","-24.8%","-1.3%","43%","0.6%","-3.1%","4%","46%"
125,"Parsley Energy ","PE","2/6/2020","Buy","2.3%","7.8%","1.6%",,"0.6%","2.2%","2%","36%"
126,"Salesforce ","CRM","17/11/2016","Buy","-2.3%","-5.2%","-10.6%","38%","-0.3%","1.4%","4%","21%"
127,"NXP Semiconductors ","NXPI","4/6/2020","Buy","-1.8%","-6.4%","2.7%","79%","0.7%","-4.7%","0%","34%"
128,"Fast Acquisition ","FST","25/3/2021","Buy","2.8%","-0.3%","-9.0%","-21%","1.3%","2.6%","5%","17%"
129,"Hyliion ","HYLN","31/3/2021","Negative Mention","-2.7%","1.3%","-10.5%","-60%","0.6%","2.0%","4%","15%"
130,"Pinterest ","PINS","17/6/2019","Positive Mention","-2.2%","-9.2%","-10.5%","-22%","0.3%","-0.1%","3%","9%"
131,"Chevron ","CVX","9/3/2020","Sell","-1.5%","-16.8%","-0.8%","39%","1.3%","-12.4%","-3%","38%"
132,"Livongo Health ","LVGO","14/7/2020","Buy","1.2%","2.1%","9.3%",,"-0.2%","1.6%","5%","37%"
133,"Innovative Industrial Pro ","IIPR","4/11/2020","Buy","10.3%","-0.4%","-0.9%","81%","0.3%","0.8%","5%","36%"
134,"Coinbase Global ","COIN","13/5/2021","Buy","-7.8%","-13.2%","-7.5%","-76%","0.8%","-0.4%","2%","-3%"
135,"Martin Marietta Materials ","MLM","8/11/2016","Buy","5.5%","-2.0%","2.8%","-5%","1.9%","0.7%","5%","22%"
136,"Starbucks ","SBUX","1/11/2018","Positive Mention","3.8%","6.7%","5.5%","31%","-1.0%","2.2%","3%","15%"
137,"Beyond Meat ","BYND","2/3/2020","Buy","-6.1%","-4.7%","-39.3%","46%","-3.0%","-3.9%","-16%","29%"
138,"Livongo Health ","LVGO","3/3/2020","Buy","7.6%","-9.0%","5.1%",,"2.2%","-12.3%","-20%","23%"
139,"Baker Hughes ","BHI","27/10/2016","Buy","2.5%","-1.4%","4.0%",,"-0.3%","-1.9%","4%","0%"
140,"Reynolds Consumer Product ","REYN","30/4/2020","Buy","-4.1%","2.1%","1.9%","-6%","-0.9%","3.4%","8%","50%"
141,"Kohl's ","KSS","15/5/2020","Sell","1.5%","3.4%","21.0%","242%","0.7%","1.4%","4%","43%"
142,"Workday ","WDAY","27/5/2020","Buy","1.4%","-4.0%","2.0%","25%","-0.6%","2.8%","1%","41%"
143,"Surface Oncology ","SURF","15/1/2021","Buy","3.2%","-5.0%","-18.0%","-69%","0.1%","1.5%","4%","22%"
144,"eXp World ","EXPI","5/2/2021","Negative Mention","5.3%","6.5%","-45.2%","-64%","0.3%","0.5%","-2%","16%"
145,"Cisco Systems ","CSCO","15/11/2017","Buy","-0.4%","1.7%","7.2%","33%","0.4%","0.7%","4%","8%"
146,"Union Pacific ","UNP","17/7/2019","Negative Mention","0.2%","-0.6%","-3.2%","6%","0.6%","0.4%","-2%","10%"
147,"Impinj ","PI","12/11/2018","Negative Mention","-1.4%","-7.5%","-13.9%","82%","-0.4%","-2.9%","-2%","16%"
148,"Wynn Resorts ","WYNN","8/3/2018","Buy","-0.2%","-2.2%","-4.5%","-35%","1.1%","-1.3%","-6%","2%"
149,"Brinker International ","EAT","8/4/2020","Negative Mention","11.3%","-16.1%","27.6%","295%","0.2%","0.3%","5%","50%"
150,"Salesforce ","CRM","18/5/2016","Buy","-1.4%","2.8%","0.2%","8%","0.1%","2.5%","2%","19%"
151,"Palo Alto Networks ","PANW","20/5/2021","Buy","0.2%","0.2%","2.3%","38%","-0.5%","1.2%","2%","-3%"
152,"Luminar Technologies ","LAZR","18/12/2020","Buy","20.5%","-11.7%","-15.1%","-55%","0.8%","1.2%","3%","25%"
153,"United Parcel Service ","UPS","12/3/2020","Buy","3.5%","-0.8%","4.4%","78%","2.4%","-14.5%","3%","50%"
154,"Scorpio Tankers ","STNG","5/5/2020","Sell","-15.2%","-1.8%","-9.0%","-3%","-1.3%","-0.9%","12%","50%"
155,"Golden Ocean Group ","GOGL","13/7/2021","Negative Mention","-2.3%","-4.3%","1.4%","27%","-0.3%","-0.4%","2%","-12%"
156,"Tellurian ","TELL","23/3/2021","Buy","-3.7%","-2.5%","-20.4%","102%","-0.9%","2.3%","8%","18%"
157,"Adobe Systems ","ADBE","11/6/2020","Buy","-0.7%","5.3%","8.8%","37%","-1.3%","1.9%","4%","42%"
158,"CyberArk Software ","CYBR","13/5/2019","Buy","-3.9%","7.9%","7.0%","-22%","0.5%","1.1%","2%","1%"
159,"Qualtrics ","XM","26/1/2022","Buy","0.4%","11.4%","18.0%",,"-1.6%","3.6%","1%","0%"
160,"TJX Companies ","TJX","15/5/2020","Positive Mention","-0.1%","11.1%","5.7%","46%","0.7%","1.4%","4%","43%"
161,"Norwegian Cruise Line ","NCLH","23/11/2020","Buy","2.3%","1.7%","9.0%","0%","0.8%","0.8%","2%","31%"
162,"Apple ","AAPL","29/1/2019","Buy","1.2%","5.4%","6.3%","99%","0.9%","1.9%","5%","25%"
163,"Alteryx ","AYX","5/12/2017","Buy","2.9%","2.7%","-2.7%","115%","0.0%","1.3%","4%","4%"
164,"Revolve Group ","RVLV","26/1/2022","Buy","-4.3%","12.4%","7.5%",,"-1.6%","3.6%","1%","0%"
165,"InMode ","INMD","28/9/2021","Buy","1.4%","-8.8%","18.8%","-64%","-0.2%","0.1%","6%","-15%"
166,"ContextLogic ","WISH","26/4/2021","Buy","1.2%","-11.2%","-44.8%","-89%","-0.1%","-0.5%","0%","1%"
167,"Bloom Energy ","BE","4/11/2020","Sell","5.8%","11.0%","79.4%","108%","0.3%","0.8%","5%","36%"
168,"PVH Corp ","PVH","28/3/2018","Buy","-0.3%","5.3%","5.4%","-19%","0.8%","0.9%","1%","9%"
169,"Penn National Gaming ","PENN","5/1/2021","Negative Mention","-2.8%","16.8%","44.5%","-47%","1.0%","1.7%","4%","27%"
170,"Nike ","NKE","18/12/2020","Buy","-0.6%","-1.1%","-3.3%","10%","0.8%","1.2%","3%","25%"
171,"Livongo Health ","LVGO","5/8/2020","Buy","-0.5%","-10.6%","-8.4%",,"0.9%","0.7%","0%","34%"
172,"MannKind ","MNKD","25/6/2021","Buy","5.8%","-1.3%","-17.2%","-25%","0.1%","1.3%","3%","-8%"
173,"GrowGeneration ","GRWG","4/11/2020","Buy","15.1%","5.5%","48.6%","-4%","0.3%","0.8%","5%","36%"
174,"CRISPR Therapeutics ","CRSP","12/2/2020","Positive Mention","-4.6%","-2.3%","-42.1%","177%","0.4%","0.0%","-29%","19%"
175,"Vaxart ","VXRT","5/2/2021","Sell","17.1%","-14.9%","-36.5%","-48%","0.3%","0.5%","-2%","16%"
176,"XPO Logistics ","XPO","2/12/2020","Buy","0.3%","3.3%","0.1%","9%","0.0%","0.0%","1%","25%"
177,"Upstart ","UPST","12/8/2021","Buy","8.2%","-3.8%","36.8%","-84%","0.1%","-0.6%","0%","-2%"
178,"PVH Corp ","PVH","24/5/2017","Buy","-0.6%","-0.7%","5.0%","48%","0.2%","0.7%","1%","15%"
179,"Foot Locker ","FL","15/5/2020","Sell","0.7%","4.5%","8.2%","146%","0.7%","1.4%","4%","43%"
180,"Intuit ","INTU","16/11/2018","Positive Mention","-5.1%","1.1%","-0.9%","36%","-1.4%","-0.6%","-5%","18%"
181,"AppLovin ","APP","23/6/2021","Buy","-1.6%","-16.0%","-26.0%","-53%","0.0%","1.3%","4%","-7%"
182,"Gap ","GPS","29/5/2020","Sell","5.4%","38.0%","26.5%","238%","0.6%","5.8%","0%","40%"
183,"United Continental ","UAL","16/10/2018","Buy","0.5%","-7.1%","4.3%","1%","0.0%","-5.4%","-2%","9%"
184,"Nokia ","NOK","3/4/2020","Sell","1.0%","2.8%","12.3%","28%","2.7%","4.1%","7%","56%"
185,"Snap ","SNAP","19/3/2020","Buy","1.1%","20.7%","28.0%","476%","-5.7%","10.8%","23%","74%"
186,"Enphase Energy ","ENPH","6/12/2021","Buy","-0.8%","-9.1%","-31.9%","42%","0.8%","-1.1%","0%","-15%"
187,"Zoom Video Communications ","ZM","8/9/2020","Positive Mention","5.4%","4.8%","26.4%","-24%","0.7%","-0.3%","2%","34%"
188,"Thunder Bridge Acquisitio ","THBR","31/3/2021","Buy","-0.6%","-3.8%","-7.9%",,"0.6%","2.0%","4%","15%"
189,"Snowflake ","SNOW","25/8/2021","Buy","2.1%","0.5%","1.9%","-35%","-0.5%","1.6%","0%","-8%"
190,"Peloton ","PTON","8/9/2020","Positive Mention","1.1%","-9.4%","34.9%","17%","0.7%","-0.3%","2%","34%"
191,"API Group ","APG","7/12/2020","Buy","-1.1%","1.8%","-0.6%","40%","0.7%","-0.2%","3%","29%"
192,"Levi Strauss ","LEVI","6/10/2021","Buy","3.0%","-5.7%","3.7%","-45%","0.1%","0.9%","7%","-16%"
193,"Mazor Robotics ","MZOR","11/4/2017","Buy","4.6%","3.8%","27.5%","97%","-0.3%","-0.3%","2%","16%"
194,"Extreme Networks ","EXTR","29/1/2018","Sell","4.1%","-8.7%","-26.0%","-51%","-0.3%","-4.5%","-5%","-3%"
195,"Funko ","FNKO","9/11/2018","Buy","-3.9%","-4.2%","-6.6%","-9%","-1.7%","-1.3%","-3%","15%"
196,"Apellis Pharmaceuticals ","APLS","8/1/2020","Negative Mention","-10.0%","8.8%","19.5%","55%","0.2%","1.3%","2%","19%"
197,"Tesla ","TSLA","30/11/2020","Buy","-2.1%","11.1%","20.7%","87%","0.1%","1.1%","3%","25%"
198,"New Relic ","NEWR","7/11/2017","Buy","0.0%","1.7%","6.7%","72%","0.2%","-1.0%","2%","10%"
199,"Logitech International ","LOGI","18/3/2020","Buy","7.0%","-0.6%","8.3%","139%","0.5%","9.3%","18%","66%"
200,"Rocket Companies ","RKT","26/2/2021","Buy","5.7%","6.3%","2.3%","-44%","1.0%","-2.0%","2%","14%"
201,"Whole Foods Markets ","WFM","10/6/2016","Buy","-2.2%","-9.2%","0.8%","7%","-0.4%","0.2%","3%","19%"
202,"Social Capital Hedosophia ","IPOE","24/2/2021","Buy","-8.4%","-14.2%","-12.2%","-43%","-2.1%","-1.5%","4%","16%"
203,"Manitowoc ","MTW","25/4/2016","Buy","1.1%","-0.9%","1.1%","9%","-0.1%","-1.3%","0%","16%"
204,"Splunk ","SPLK","28/2/2019","Buy","-5.8%","-9.1%","-5.8%","13%","0.0%","-2.1%","2%","12%"
205,"Enterprise Products Partn ","EPD","19/3/2020","Sell","-4.7%","-4.2%","7.5%","73%","-5.7%","10.8%","23%","74%"
206,"Lemonade ","LMND","11/11/2020","Buy","-8.1%","11.0%","64.3%","14%","-0.7%","1.3%","3%","34%"
207,"Clean Energy Fuels ","CLNE","17/6/2021","Buy","0.7%","-8.3%","-35.7%","-58%","-0.5%","2.8%","2%","-8%"
208,"Airbnb ","ABNB","3/5/2022","Buy","2.4%","-25.6%","-23.3%",,"2.9%","-8.5%","-4%","0%"
209,"Novavax ","NVAX","6/11/2020","Negative Mention","-4.5%","0.4%","36.3%","92%","-2.6%","2.3%","4%","34%"
210,"HP ","HPQ","24/11/2020","Buy","-2.8%","2.6%","10.0%","60%","-0.1%","1.1%","3%","28%"
211,"Western Digital ","WDC","6/4/2020","Buy","-5.9%","4.5%","-2.4%","69%","-3.3%","7.0%","9%","56%"
